patent_id,Cluster
123878,0
1032496,0
909052,0
1203808,0
1346968,0
417677,0
9733,0
888782,0
1133566,0
1346879,0
859419,0
1348854,0
1335427,0
846989,0
1074317,0
1098712,0
506930,0
154929,0
682336,0
988668,0
303610,0
846180,0
807731,0
692215,0
1235673,0
1076267,0
444066,0
734912,0
1299537,0
715629,0
681325,0
1128327,0
488336,0
902492,0
613647,0
534881,0
349461,0
766022,0
800291,0
1064269,0
343840,0
335964,0
1069409,0
952400,0
987229,0
980919,0
338238,0
794102,0
1132937,0
623784,0
709206,0
370701,0
425498,0
1066060,0
650154,0
878683,0
413580,0
951790,0
976449,0
798434,0
431512,0
752329,0
655879,0
369250,0
715062,0
605096,0
683581,0
479354,0
839665,0
975901,0
10309,0
57042,0
949561,0
1087626,0
376491,0
827289,0
530579,0
576905,0
360172,0
711932,0
347089,0
749189,0
790240,0
567446,0
839443,0
497986,0
98369,0
1220506,0
1338619,0
759726,0
674878,0
152428,0
469494,0
88191,0
611717,0
269803,0
442605,0
1282321,0
643276,0
1226822,0
291606,0
1211903,0
733905,0
284704,0
1071577,0
1044448,0
1228628,0
1100636,0
728563,0
1289482,0
115233,0
570890,0
859653,0
467334,0
890671,0
794674,0
695630,0
534228,0
738688,0
76092,0
260166,0
269412,0
815367,0
1019373,0
609757,0
481341,0
925021,0
109465,0
426730,0
564103,0
551414,0
1005919,0
408730,0
669655,0
1171147,0
986487,0
1261770,0
378271,0
478793,0
200889,0
137204,0
1048385,0
1333122,0
357392,0
1264854,0
1338177,0
975193,0
608475,0
940128,0
1334911,0
1061071,0
617233,0
490207,0
904945,0
973515,0
67356,0
864740,0
581423,0
482658,0
1027043,0
300889,0
438268,0
387209,0
1346377,0
460815,0
308007,0
310648,0
773642,0
505727,0
610879,0
667145,0
61055,0
1109347,0
1116267,0
806820,0
180241,0
993934,0
954697,0
1192836,0
461751,0
1362437,0
561201,0
1170682,0
214750,0
1185180,0
999946,0
507437,0
1171120,0
1290372,0
1193519,0
585574,0
61607,0
577438,0
665438,0
508017,0
1282622,0
452066,0
897466,0
400387,0
534708,0
1164848,0
955380,0
1171001,0
1213225,0
1076883,0
758821,0
857583,0
378906,0
454226,0
1320210,0
1160267,0
1088324,0
854493,0
286414,0
783485,0
587897,0
572991,0
856719,0
909093,0
484420,0
58102,0
298018,0
926011,0
178772,0
714460,0
982692,0
659295,0
998099,0
340467,0
223749,0
34302,0
377426,0
984618,0
386078,0
741363,0
1243283,0
1005366,0
1299799,0
351531,0
347353,0
929388,0
1272738,0
665949,0
1064618,0
854061,0
430714,0
941020,0
1070183,0
599674,0
563244,0
641646,0
824586,0
1224556,0
1027902,0
400907,0
575056,0
1127910,0
477961,0
571218,0
793669,0
365988,0
1003179,0
536621,0
123965,0
952048,0
1369162,0
618721,0
1146431,0
743725,0
1282457,0
868690,0
469457,0
816120,0
282193,0
429251,0
1180502,0
677809,0
570238,0
887107,0
980542,0
888234,0
1323205,0
846983,0
973092,0
857306,0
898057,0
580982,0
915767,0
463392,0
75720,0
1079688,0
834878,0
991098,0
1372705,0
854063,0
936991,0
851004,0
643890,0
564842,0
427269,0
64851,0
1289494,0
458304,0
875844,0
1154020,0
1295112,0
960212,0
497536,0
1114858,0
665029,0
358194,0
1103130,0
1121306,0
402778,0
1154117,0
539089,0
1206084,0
452866,0
1292161,0
641077,0
1227627,0
1253753,0
555147,0
908846,0
436876,0
234760,0
764322,0
1119840,0
541126,0
491105,0
750087,0
1234744,0
660150,0
758254,0
472411,0
576105,0
308707,0
495887,0
574712,0
210781,0
548117,0
1291412,0
415278,0
1064147,0
1253072,0
1225113,0
709871,0
1209736,0
817787,0
643743,0
778765,0
974208,0
1302229,0
497757,0
586376,0
667602,0
599256,0
837457,0
1344549,0
1136134,0
1356790,0
437598,0
119879,0
972434,0
438092,0
831075,0
1270025,0
1318259,0
1003819,0
1170937,0
599890,0
543042,0
995099,0
987324,0
442455,0
1266758,0
1304116,0
242113,0
1186813,0
165225,0
473195,0
360379,0
580968,0
1076281,0
664445,0
470325,0
1333003,0
580747,0
1022141,0
1007215,0
1075066,0
297519,0
197013,0
